RISEN RSM108-10-450BNDG N-TYPE TOPCON CZARNA RAMA 15 LAT GWARANCJI + Inwerter Sieciowy DEYE/FOX,,,,,,
WIELKOŚĆ,FALOWNIK,CENA BAZOWA TRAPEZ,CENA BAZOWA BLACHODACHÓWKA,CENA BAZOWA DACHÓWKA,CENA BAZOWA EKIERKI INWAZYJNE/BALAST,CENA BAZOWA GRUNT
"2,7",Deye SUN-3K-G 1F,"11 400,00 zł","11 778,00 zł","11 940,00 zł","12 075,00 zł","12 372,00 zł"
"3,15",Deye SUN-3K-G 1F,"12 060,00 zł","12 501,00 zł","12 690,00 zł","12 847,50 zł","13 194,00 zł"
"3,6",Deye SUN-3K-G 1F,"12 540,00 zł","13 044,00 zł","13 260,00 zł","13 440,00 zł","13 836,00 zł"
"4,05",DEYE SUN-4K-G05,"13 600,00 zł","14 167,00 zł","14 410,00 zł","14 612,50 zł","15 058,00 zł"
"4,5",DEYE SUN-4K-G05,"14 350,00 zł","14 980,00 zł","15 250,00 zł","15 475,00 zł","15 970,00 zł"
"4,95",DEYE SUN-5K-G05,"15 090,00 zł","15 783,00 zł","16 080,00 zł","16 327,50 zł","16 872,00 zł"
"5,4",DEYE SUN-5K-G05,"15 820,00 zł","16 576,00 zł","16 900,00 zł","17 170,00 zł","17 764,00 zł"
"5,85",DEYE SUN-6K-G05,"16 540,00 zł","17 359,00 zł","17 710,00 zł","18 002,50 zł","18 646,00 zł"
"6,3",DEYE SUN-6K-G05,"17 250,00 zł","18 132,00 zł","18 510,00 zł","18 825,00 zł","19 518,00 zł"
"6,75",DEYE SUN-6K-G05,"17 950,00 zł","18 895,00 zł","19 300,00 zł","19 502,50 zł","20 380,00 zł"
"7,2",DEYE SUN-6K-G05,"18 640,00 zł","19 648,00 zł","20 080,00 zł","20 296,00 zł","21 232,00 zł"
"7,65",DEYE SUN-8K-G05,"19 220,00 zł","20 291,00 zł","20 750,00 zł","20 979,50 zł","21 821,00 zł"
"8,1",DEYE SUN-8K-G05,"19 750,00 zł","20 884,00 zł","21 370,00 zł","21 613,00 zł","22 504,00 zł"
"8,55",DEYE SUN-8K-G05,"20 240,00 zł","21 437,00 zł","21 950,00 zł","22 206,50 zł","22 805,00 zł"
9,DEYE SUN-8K-G05,"20 800,00 zł","22 060,00 zł","22 600,00 zł","22 870,00 zł","23 500,00 zł"
"9,45",DEYE SUN-10K-G05,"21 420,00 zł","22 743,00 zł","23 310,00 zł","23 593,50 zł","24 255,00 zł"
"9,9",DEYE SUN-10K-G05,"22 070,00 zł","23 456,00 zł","24 050,00 zł","24 347,00 zł","25 040,00 zł"
"10,35",DEYE SUN-10K-G05,"22 660,00 zł","24 109,00 zł","24 730,00 zł","25 040,50 zł","25 765,00 zł"
"10,8",DEYE SUN-10K-G06,"23 140,00 zł","24 652,00 zł","25 300,00 zł","25 624,00 zł","26 380,00 zł"
"11,25",DEYE SUN-10K-G06,"23 670,00 zł","25 245,00 zł","25 920,00 zł","26 257,50 zł","27 045,00 zł"
"11,7",DEYE SUN-12K-G07,"24 290,00 zł","25 928,00 zł","26 630,00 zł","26 981,00 zł","27 800,00 zł"
"12,15",DEYE SUN-12K-G07,"24 950,00 zł","26 651,00 zł","27 380,00 zł","27 744,50 zł","28 595,00 zł"
"12,6",DEYE SUN-12K-G08,"25 500,00 zł","27 264,00 zł","28 020,00 zł","28 398,00 zł","29 280,00 zł"
"13,05",DEYE SUN-12K-G08,"26 100,00 zł","27 927,00 zł","28 710,00 zł","29 101,50 zł","30 015,00 zł"
"13,5",DEYE SUN-12K-G09,"26 650,00 zł","28 540,00 zł","29 350,00 zł","29 755,00 zł","30 700,00 zł"
