"RISEN RSM108-10-450BNDG N-TYPE TOPCON CZARNA RAMA 15 LAT GWARANCJI + DYNESS TOWER T10 (10,66)",,,,,,,,
WIELKOŚĆ,FALOWNIK,CENA BAZOWA TRAPEZ,CENA BAZOWA BLACHODACHÓWKA,CENA BAZOWA DACHÓWKA,CENA BAZOWA EKIERKI INWAZYJNE/BALAST,CENA BAZOWA GRUNT,"Zwiększenie magazynu do 14,21kWh (kwota za zwiększenie)","Zwiększenie magazynu do 17,76kWh (kwota za zwięszkenie)"
"2,7",GOODWE/SOLIS,"27 000,00 zł","27 378,00 zł","27 540,00 zł","27 675,00 zł","27 972,00 zł","3 000,00 zł","6 000,00 zł"
"3,15",GOODWE/SOLIS,"27 660,00 zł","28 101,00 zł","28 290,00 zł","28 447,50 zł","28 794,00 zł","3 000,00 zł","6 000,00 zł"
"3,6",GOODWE/SOLIS,"28 140,00 zł","28 644,00 zł","28 860,00 zł","29 040,00 zł","29 436,00 zł","3 000,00 zł","6 000,00 zł"
"4,05",GOODWE/SOLIS,"29 100,00 zł","29 667,00 zł","29 910,00 zł","30 112,50 zł","30 558,00 zł","3 000,00 zł","6 000,00 zł"
"4,5",GOODWE/SOLIS,"29 850,00 zł","30 480,00 zł","30 750,00 zł","30 975,00 zł","31 470,00 zł","3 000,00 zł","6 000,00 zł"
"4,95",GOODWE/SOLIS,"30 590,00 zł","31 283,00 zł","31 580,00 zł","31 827,50 zł","32 372,00 zł","3 000,00 zł","6 000,00 zł"
"5,4",GOODWE/SOLIS,"31 320,00 zł","32 076,00 zł","32 400,00 zł","32 670,00 zł","33 264,00 zł","3 000,00 zł","6 000,00 zł"
"5,85",GOODWE/SOLIS,"32 040,00 zł","32 859,00 zł","33 210,00 zł","33 502,50 zł","34 146,00 zł","3 000,00 zł","6 000,00 zł"
"6,3",GOODWE/SOLIS,"32 750,00 zł","33 632,00 zł","34 010,00 zł","34 325,00 zł","35 018,00 zł","3 000,00 zł","6 000,00 zł"
"6,75",GOODWE/SOLIS,"33 450,00 zł","34 395,00 zł","34 800,00 zł","35 002,50 zł","35 880,00 zł","3 000,00 zł","6 000,00 zł"
"7,2",GOODWE/SOLIS,"34 140,00 zł","35 148,00 zł","35 580,00 zł","35 796,00 zł","36 732,00 zł","3 000,00 zł","6 000,00 zł"
"7,65",GOODWE/SOLIS,"34 820,00 zł","35 891,00 zł","36 350,00 zł","36 579,50 zł","37 421,00 zł","3 000,00 zł","6 000,00 zł"
"8,1",GOODWE/SOLIS,"35 350,00 zł","36 484,00 zł","36 970,00 zł","37 213,00 zł","38 104,00 zł","3 000,00 zł","6 000,00 zł"
"8,55",GOODWE/SOLIS,"35 840,00 zł","37 037,00 zł","37 550,00 zł","37 806,50 zł","38 405,00 zł","3 000,00 zł","6 000,00 zł"
9,GOODWE/SOLIS,"36 400,00 zł","37 660,00 zł","38 200,00 zł","38 470,00 zł","39 100,00 zł","3 000,00 zł","6 000,00 zł"
"9,45",GOODWE/SOLIS,"37 020,00 zł","38 343,00 zł","38 910,00 zł","39 193,50 zł","39 855,00 zł","3 000,00 zł","6 000,00 zł"
"9,9",GOODWE/SOLIS,"37 670,00 zł","39 056,00 zł","39 650,00 zł","39 947,00 zł","40 640,00 zł","3 000,00 zł","6 000,00 zł"
"10,35",GOODWE/SOLIS,"38 260,00 zł","39 709,00 zł","40 330,00 zł","40 640,50 zł","41 365,00 zł","3 000,00 zł","6 000,00 zł"
"10,8",GOODWE/SOLIS,"38 740,00 zł","40 252,00 zł","40 900,00 zł","41 224,00 zł","41 980,00 zł","3 000,00 zł","6 000,00 zł"
"11,25",GOODWE/SOLIS,"39 270,00 zł","40 845,00 zł","41 520,00 zł","41 857,50 zł","42 645,00 zł","3 000,00 zł","6 000,00 zł"
"11,7",GOODWE/SOLIS,"39 890,00 zł","41 528,00 zł","42 230,00 zł","42 581,00 zł","43 400,00 zł","3 000,00 zł","6 000,00 zł"
"12,15",GOODWE/SOLIS,"40 550,00 zł","42 251,00 zł","42 980,00 zł","43 344,50 zł","44 195,00 zł","3 000,00 zł","6 000,00 zł"
"12,6",GOODWE/SOLIS,"41 100,00 zł","42 864,00 zł","43 620,00 zł","43 998,00 zł","44 880,00 zł","3 000,00 zł","6 000,00 zł"
"13,05",GOODWE/SOLIS,"41 700,00 zł","43 527,00 zł","44 310,00 zł","44 701,50 zł","45 615,00 zł","3 000,00 zł","6 000,00 zł"
"13,5",GOODWE/SOLIS,"42 250,00 zł","44 140,00 zł","44 950,00 zł","45 355,00 zł","46 300,00 zł","3 000,00 zł","6 000,00 zł"
